X,Y,Z,Resistivity,Easting,Northing,Profile
4.5,0.0,-0.094,13034.0,464705.8846153846,5754503.361538461,9
5.5,0.0,-0.094,12943.0,464705.858974359,5754502.330769231,9
6.5,0.0,-0.094,11979.0,464705.8333333333,5754501.3,9
7.5,0.0,-0.094,6283.7002,464705.8076923077,5754500.269230769,9
8.5,0.0,-0.094,22229.0,464705.78205128206,5754499.238461538,9
9.5,0.0,-0.094,10533.0,464705.7564102565,5754498.207692307,9
10.5,0.0,-0.094,6313.0,464705.7307692308,5754497.176923077,9
11.5,0.0,-0.094,6285.8999,464705.7051282051,5754496.146153846,9
12.5,0.0,-0.094,8494.7002,464705.6794871795,5754495.115384615,9
13.5,0.0,-0.094,5066.7002,464705.6538461539,5754494.084615384,9
14.5,0.0,-0.094,4710.7002,464705.6282051282,5754493.053846153,9
15.5,0.0,-0.094,5224.6001,464705.60256410256,5754492.023076923,9
16.5,0.0,-0.094,3813.7,464705.57692307694,5754490.992307693,9
17.5,0.0,-0.094,3842.8999,464705.5512820513,5754489.961538462,9
18.5,0.0,-0.094,3776.8999,464705.5256410256,5754488.930769231,9
19.5,0.0,-0.094,3823.8,464705.5,5754487.9,9
20.5,0.0,-0.094,4387.6001,464705.4743589744,5754486.86923077,9
21.5,0.0,-0.094,10951.0,464705.4487179487,5754485.838461539,9
22.5,0.0,-0.094,2458.0,464705.4230769231,5754484.807692308,9
23.5,0.0,-0.094,4124.2002,464705.39743589744,5754483.776923077,9
24.5,0.0,-0.094,3193.6001,464705.3717948718,5754482.746153846,9
25.5,0.0,-0.094,422.74,464705.3461538461,5754481.715384616,9
26.5,0.0,-0.094,606.99,464705.3205128205,5754480.684615385,9
27.5,0.0,-0.094,161.8,464705.2948717949,5754479.653846154,9
28.5,0.0,-0.094,163.62,464705.2692307693,5754478.623076923,9
29.5,0.0,-0.094,233.92,464705.2435897436,5754477.592307692,9
